NO_OF_FRAMES	3000
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-28, 17:16:30.991	1829317.80032220
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
31	0.30000	-2.89239	-2.74790	13.55495	-178.92763	1.20279	-86.43386	0.35001	0.06219	0.99786	0.01998	0.99784	-0.06258	0.01978	0.02099	0.01871	-0.99960	
32	0.31000	-2.89029	-2.75601	13.63357	-178.79181	1.24663	-86.44146	0.36660	0.06205	0.99782	0.02239	0.99784	-0.06251	0.02040	0.02176	0.02108	-0.99954	
33	0.32000	-2.84875	-2.73540	13.60222	-178.75645	1.17319	-86.41908	0.34626	0.06245	0.99778	0.02294	0.99784	-0.06289	0.01907	0.02047	0.02170	-0.99955	
34	0.33000	-2.82995	-2.73394	13.54944	-178.89767	1.13217	-86.40875	0.30570	0.06263	0.99783	0.02044	0.99784	-0.06301	0.01851	0.01976	0.01923	-0.99962	
35	0.34000	-2.92294	-2.68444	13.60851	-178.83447	1.19205	-86.42796	0.39711	0.06229	0.99782	0.02160	0.99784	-0.06271	0.01949	0.02080	0.02034	-0.99958	
36	0.35000	-2.92120	-2.76099	13.60670	-178.81671	1.23845	-86.43661	0.38279	0.06214	0.99783	0.02195	0.99783	-0.06258	0.02028	0.02161	0.02065	-0.99955	
37	0.36000	-2.81563	-2.80466	13.65531	-178.71054	1.19658	-86.41960	0.35811	0.06244	0.99777	0.02376	0.99783	-0.06290	0.01943	0.02088	0.02250	-0.99953	
38	0.37000	-2.81870	-2.76630	13.56938	-178.89148	1.15813	-86.41674	0.34461	0.06249	0.99783	0.02057	0.99784	-0.06288	0.01896	0.02021	0.01934	-0.99961	
39	0.38000	-2.90246	-2.68938	13.57168	-178.85382	1.18779	-86.43323	0.38937	0.06220	0.99784	0.02125	0.99785	-0.06261	0.01944	0.02073	0.02000	-0.99959	
40	0.39000	-2.90241	-2.75501	13.59488	-178.85220	1.18343	-86.42421	0.36329	0.06236	0.99783	0.02128	0.99784	-0.06277	0.01936	0.02065	0.02003	-0.99959	
41	0.40000	-2.84047	-2.78561	13.63027	-178.78413	1.21763	-86.42302	0.39205	0.06238	0.99780	0.02250	0.99783	-0.06283	0.01988	0.02125	0.02121	-0.99955	
42	0.41000	-2.80626	-2.76550	13.60333	-178.88162	1.12815	-86.40807	0.36617	0.06264	0.99782	0.02071	0.99784	-0.06302	0.01842	0.01969	0.01951	-0.99962	
43	0.42000	-2.84273	-2.77324	13.55334	-178.96945	1.19162	-86.40694	0.35162	0.06266	0.99785	0.01925	0.99782	-0.06303	0.01962	0.02080	0.01798	-0.99962	
44	0.43000	-2.89467	-2.76612	13.56481	-178.87698	1.20393	-86.43716	0.36150	0.06213	0.99785	0.02087	0.99785	-0.06254	0.01975	0.02101	0.01959	-0.99959	
45	0.44000	-2.85264	-2.76914	13.62532	-178.79860	1.20618	-86.41776	0.39370	0.06247	0.99780	0.02224	0.99782	-0.06291	0.01969	0.02105	0.02096	-0.99956	
46	0.45000	-2.82717	-2.75865	13.59489	-178.85269	1.15579	-86.44131	0.35770	0.06206	0.99785	0.02124	0.99787	-0.06246	0.01889	0.02017	0.02002	-0.99960	
47	0.46000	-2.85298	-2.72007	13.52726	-178.90353	1.17773	-86.39460	0.31087	0.06287	0.99781	0.02039	0.99781	-0.06327	0.01931	0.02055	0.01913	-0.99961	
48	0.47000	-2.88712	-2.76118	13.58263	-178.91475	1.23006	-86.41589	0.38787	0.06250	0.99784	0.02024	0.99781	-0.06291	0.02024	0.02147	0.01894	-0.99959	
49	0.48000	-2.84929	-2.77775	13.63109	-178.81947	1.20367	-86.41973	0.39320	0.06243	0.99781	0.02187	0.99783	-0.06287	0.01967	0.02101	0.02060	-0.99957	
50	0.49000	-2.80831	-2.77978	13.57683	-178.82794	1.16871	-86.43626	0.37108	0.06215	0.99783	0.02168	0.99786	-0.06256	0.01908	0.02040	0.02045	-0.99958	
51	0.50000	-2.81986	-2.75675	13.52736	-178.93021	1.18308	-86.39678	0.33227	0.06283	0.99783	0.01993	0.99781	-0.06322	0.01943	0.02065	0.01867	-0.99961	
52	0.51000	-2.90026	-2.70331	13.59001	-178.80244	1.22892	-86.40461	0.44087	0.06270	0.99779	0.02220	0.99780	-0.06314	0.02009	0.02145	0.02090	-0.99955	
53	0.52000	-2.85477	-2.76120	13.61085	-178.81932	1.17922	-86.40741	0.39844	0.06265	0.99780	0.02185	0.99782	-0.06307	0.01924	0.02058	0.02060	-0.99958	
54	0.53000	-2.80185	-2.80226	13.63998	-178.73116	1.16408	-86.42623	0.34232	0.06232	0.99778	0.02337	0.99785	-0.06277	0.01889	0.02032	0.02214	-0.99955	
55	0.54000	-2.84952	-2.74165	13.52938	-178.95874	1.13730	-86.42531	0.31269	0.06234	0.99787	0.01937	0.99786	-0.06270	0.01867	0.01985	0.01817	-0.99964	
56	0.55000	-2.90690	-2.73268	13.59698	-178.84705	1.19085	-86.42618	0.42684	0.06232	0.99783	0.02138	0.99784	-0.06274	0.01948	0.02078	0.02012	-0.99958	
57	0.56000	-2.86445	-2.78283	13.59978	-178.82492	1.21587	-86.43460	0.39570	0.06217	0.99783	0.02179	0.99784	-0.06261	0.01990	0.02122	0.02050	-0.99956	
58	0.57000	-2.77812	-2.81239	13.62959	-178.73689	1.12806	-86.40898	0.36784	0.06262	0.99777	0.02323	0.99784	-0.06305	0.01826	0.01969	0.02204	-0.99956	
59	0.58000	-2.81105	-2.81473	13.52196	-178.96281	1.13073	-86.42999	0.28834	0.06226	0.99787	0.01929	0.99787	-0.06261	0.01857	0.01973	0.01810	-0.99964	
60	0.59000	-2.89378	-2.72961	13.58300	-178.85011	1.20155	-86.43082	0.42948	0.06224	0.99783	0.02133	0.99784	-0.06266	0.01968	0.02097	0.02006	-0.99958	
61	0.60000	-2.85753	-2.78292	13.58087	-178.83977	1.23337	-86.42338	0.38803	0.06237	0.99782	0.02155	0.99782	-0.06281	0.02022	0.02152	0.02024	-0.99956	
62	0.61000	-2.81856	-2.77338	13.60602	-178.80551	1.16129	-86.43582	0.38982	0.06215	0.99782	0.02207	0.99786	-0.06257	0.01893	0.02027	0.02084	-0.99958	
63	0.62000	-2.80335	-2.76150	13.54853	-178.89558	1.15515	-86.39704	0.33102	0.06283	0.99781	0.02050	0.99782	-0.06322	0.01890	0.02016	0.01927	-0.99961	
64	0.63000	-2.85873	-2.74601	13.56509	-178.91161	1.16356	-86.42011	0.40838	0.06243	0.99784	0.02023	0.99784	-0.06281	0.01908	0.02031	0.01899	-0.99961	
65	0.64000	-2.86508	-2.76320	13.56481	-178.87369	1.18899	-86.42736	0.37980	0.06230	0.99784	0.02091	0.99784	-0.06271	0.01948	0.02075	0.01965	-0.99959	
66	0.65000	-2.83685	-2.77924	13.60812	-178.80119	1.16154	-86.43799	0.39295	0.06212	0.99782	0.02214	0.99786	-0.06254	0.01893	0.02027	0.02092	-0.99958	
67	0.66000	-2.82601	-2.74922	13.55672	-178.88260	1.17825	-86.42810	0.35102	0.06229	0.99784	0.02074	0.99785	-0.06269	0.01930	0.02056	0.01950	-0.99960	
68	0.67000	-2.85808	-2.73744	13.57513	-178.88185	1.16006	-86.41969	0.40770	0.06243	0.99783	0.02074	0.99784	-0.06283	0.01898	0.02025	0.01951	-0.99960	
69	0.68000	-2.86143	-2.78511	13.55503	-178.89592	1.20648	-86.40517	0.37300	0.06269	0.99782	0.02055	0.99781	-0.06309	0.01980	0.02106	0.01926	-0.99959	
70	0.69000	-2.83877	-2.79626	13.62698	-178.79253	1.22708	-86.41568	0.45247	0.06250	0.99779	0.02237	0.99782	-0.06295	0.02005	0.02141	0.02107	-0.99955	
71	0.70000	-2.81525	-2.76314	13.58982	-178.88748	1.14745	-86.42510	0.35471	0.06234	0.99784	0.02063	0.99785	-0.06273	0.01877	0.02003	0.01941	-0.99961	
72	0.71000	-2.82769	-2.76420	13.54857	-178.94617	1.16258	-86.41741	0.34499	0.06247	0.99785	0.01962	0.99784	-0.06285	0.01910	0.02029	0.01839	-0.99963	
73	0.72000	-2.86417	-2.76144	13.54792	-178.89342	1.21933	-86.42162	0.37751	0.06240	0.99784	0.02060	0.99782	-0.06281	0.02003	0.02128	0.01931	-0.99959	
74	0.73000	-2.83014	-2.80257	13.61360	-178.80554	1.20358	-86.39372	0.45134	0.06289	0.99778	0.02213	0.99780	-0.06332	0.01965	0.02100	0.02084	-0.99956	
75	0.74000	-2.80476	-2.79008	13.61886	-178.74886	1.16955	-86.41971	0.35094	0.06243	0.99778	0.02307	0.99784	-0.06288	0.01900	0.02041	0.02183	-0.99955	
76	0.75000	-2.84602	-2.75347	13.55568	-178.93044	1.15318	-86.41425	0.34728	0.06253	0.99784	0.01989	0.99784	-0.06291	0.01892	0.02013	0.01866	-0.99962	
77	0.76000	-2.83711	-2.80228	13.57017	-178.94185	1.24969	-86.38961	0.43672	0.06296	0.99782	0.01980	0.99778	-0.06336	0.02060	0.02181	0.01846	-0.99959	
78	0.77000	-2.85726	-2.78306	13.60285	-178.82675	1.17330	-86.44314	0.40596	0.06203	0.99784	0.02171	0.99786	-0.06244	0.01916	0.02048	0.02047	-0.99958	
79	0.78000	-2.82709	-2.77422	13.65651	-178.73077	1.18880	-86.42457	0.33715	0.06235	0.99778	0.02340	0.99784	-0.06281	0.01932	0.02075	0.02215	-0.99954	
80	0.79000	-2.82506	-2.75182	13.56118	-178.92723	1.16115	-86.41035	0.35856	0.06260	0.99784	0.01995	0.99783	-0.06298	0.01905	0.02026	0.01872	-0.99962	
81	0.80000	-2.85281	-2.76702	13.54944	-178.92885	1.19925	-86.42101	0.36883	0.06241	0.99785	0.01996	0.99783	-0.06280	0.01972	0.02093	0.01869	-0.99961	
82	0.81000	-2.84969	-2.76701	13.59666	-178.81384	1.19515	-86.42716	0.40323	0.06230	0.99782	0.02196	0.99784	-0.06274	0.01952	0.02086	0.02070	-0.99957	
83	0.82000	-2.82305	-2.78304	13.67136	-178.72926	1.17411	-86.42077	0.34851	0.06242	0.99778	0.02341	0.99784	-0.06287	0.01906	0.02049	0.02217	-0.99954	
