Timestamp,x,y,z,vx,vy,vz,Yaw,ref x,ref y,ref z,ref vx,ref vy,ref vz,Thrust controller,Roll controller,Pitch controller,Roll drone,Pitch drone,Yaw drone,Thrust drone,
2802227,-3.994585858890787e-05,-0.00761684263125062,-0.0005767612019553781,-0.002140623750165105,0.000957913463935256,-0.0011320023331791162,0,0,0,0,0,0,0,2.3078785173229948,0.0030796854616636027,0.08865228059598182,0.17645297918112293,5.07940152235928,0,44698,
2802627,-3.384013325558044e-05,-0.007678748108446598,-0.00046898002619855106,-0.0003036322887055576,-0.00030456652166321874,0.0004931848961859941,0,0.009,0.001,0.030303,0,0,0,2.3157039873638854,0.0027358424460936144,0.09525680834266792,0.15675222557391152,5.457813087921442,0,44850,
2802827,0.0006450108485296369,-0.007365355268120766,0.00038149202009662986,0.005016472190618515,0.0013958883937448263,0.02913462370634079,0,0.033,0.003,0.0606061,0,0,0,2.3155524737854782,0.0026098762691018967,0.10117598818512678,0.14953489527088817,5.796957111073246,0,44847,
2802927,0.005163449328392744,-0.005508785601705313,0.008395587094128132,0.08643937855958939,0.013003234751522541,0.13542962074279785,0,0.068,0.005,0.0909091,0,0,0,2.290369254062869,0.003918045839581215,0.09486881686261704,0.2244874905467948,5.435582813627493,0,44359,
2803127,0.03894185274839401,0.005733924452215433,0.05273297056555748,0.2771359980106354,0.052039507776498795,0.3008580803871155,0,0.114,0.005,0.121212,0,0,0,2.236692352890655,0.010771982417708544,0.06656717303241501,0.6171891295238282,3.81401806887445,0,43320,
2803227,0.07270914316177368,0.010562166571617126,0.08439842611551285,0.3775588870048523,0.050069764256477356,0.32867729663848877,0,0.168,0.005,0.151515,0,0,0,2.2269626826738915,0.009245269840263639,0.050445906565158564,0.5297149423066952,2.8903375398948774,0,43131,
2803427,0.1596236377954483,0.022549398243427277,0.14335183799266815,0.5250756740570068,0.036693114787340164,0.28195884823799133,0,0.23,0.002,0.181818,0,0,0,2.231383524614255,0.006145198368470636,0.017821253054778004,0.3520939307840468,1.0210825856734054,0,43217,
2803627,0.27502328157424927,0.029201693832874298,0.19513297080993652,0.6321331858634949,0.006852708291262388,0.2348194122314453,0,0.297,-0.002,0.212121,0,0,0,2.239416246845505,-0.001123051511902312,-0.012436527657898362,-0.06434611180778861,-0.7125605465952947,0,43372,
2803727,0.3404946029186249,0.029278140515089035,0.21823814511299133,0.6639587879180908,-0.011438029818236828,0.21073472499847412,0,0.367,-0.008,0.242424,0,0,0,2.2485733996232127,-0.00799578063485615,-0.023405498700503295,-0.4581244842896913,-1.3410362929377717,0,43550,
2803927,0.4675344228744507,0.0267241932451725,0.25593632459640503,0.658108651638031,-0.025437409058213234,0.17366041243076324,0,0.44,-0.016,0.272727,0,0,0,2.2581283426727565,-0.015145344431182282,-0.03710370100805573,-0.8677643151787092,-2.1258854720768916,0,43735,
2804127,0.5938434600830078,0.019717998802661896,0.28654447197914124,0.6150411367416382,-0.02319147065281868,0.14705298840999603,0,0.514,-0.025,0.30303,0,0,0,2.2663637178090394,-0.02087113931675948,-0.04487722948800971,-1.1958281964798747,-2.5712758459030005,0,43894,
2804227,0.6539333462715149,0.01791045442223549,0.30070263147354126,0.585711658000946,-0.012508495710790157,0.13604781031608582,0,0.586,-0.034,0.333333,0,0,0,2.274027957271802,-0.02521666886391432,-0.046049721735472234,-1.4448086992812428,-2.638454703194412,0,44043,
2804427,0.7400087118148804,0.03718199208378792,0.3189629316329956,0.44783154129981995,0.0687069296836853,0.09364686161279678,0,0.656,-0.043,0.363636,0,0,0,2.28791903009714,-0.01636880075014294,-0.03316885345849801,-0.9378631986737664,-1.90043531445984,0,44312,
2804627,0.8271112442016602,0.04891116917133331,0.34233495593070984,0.3873269855976105,0.08117342740297318,0.12111623585224152,0,0.721,-0.05,0.393939,0,0,0,2.282251830881787,-0.020053273852623784,-0.03378320011343425,-1.1489679571753912,-1.9356347849456663,0,44202,
2804727,0.8696353435516357,0.05656846985220909,0.3620035946369171,0.38027551770210266,0.08631535619497299,0.1698153018951416,0,0.781,-0.056,0.424242,0,0,0,2.2719012129132743,-0.025891411322572718,-0.03728514446160449,-1.4834685944206496,-2.1362814161855135,0,44002,
2804927,0.9319157004356384,0.07620321214199066,0.39774781465530396,0.30513593554496765,0.1285146176815033,0.17078448832035065,0,0.835,-0.058,0.454545,0,0,0,2.2698502053898766,-0.024368661431111122,-0.03235598322665326,-1.396221452385896,-1.8538612808833148,0,43962,
2805027,0.9559383392333984,0.08759494125843048,0.4149300754070282,0.2603444457054138,0.14503417909145355,0.1596817970275879,0,0.882,-0.056,0.484848,0,0,0,2.276423166215268,-0.02800747251545207,-0.02715466889863663,-1.6047099699640548,-1.5558479219670385,0,44089,
2805227,1.0006111860275269,0.12041188031435013,0.446222722530365,0.1965266317129135,0.1934366673231125,0.15207548439502716,0,0.922,-0.05,0.515152,0,0,0,2.277870265310908,-0.023785142895419966,-0.021995758925282962,-1.362788303023139,-1.2602641536059251,0,44117,
2805427,1.041351318359375,0.15924236178398132,0.47295260429382324,0.1597655862569809,0.22583945095539093,0.14232885837554932,0,0.955,-0.039,0.545455,0,0,0,2.281418988546002,-0.021463730955372597,-0.020989759405920263,-1.229781196347148,-1.202624626954253,0,44186,
2805527,1.0581852197647095,0.18249912559986115,0.4866001307964325,0.14432187378406525,0.2439301460981369,0.1426534503698349,0,0.981,-0.022,0.575758,0,0,0,2.2859568641498633,-0.023816695752594236,-0.020505448364738037,-1.3645961485708036,-1.174875648322925,0,44274,
